iter	Passed	Remaining
514	1467	1382
515	1469	1378
516	1471	1374
517	1472	1370
518	1474	1366
519	1475	1362
520	1477	1358
521	1478	1354
522	1480	1350
523	1481	1346
524	1484	1342
525	1485	1339
526	1487	1335
527	1489	1331
528	1491	1328
529	1493	1324
530	1495	1320
531	1497	1316
532	1499	1313
533	1500	1309
534	1502	1306
535	1504	1302
536	1506	1299
537	1508	1295
538	1510	1291
539	1512	1288
540	1514	1284
541	1516	1281
542	1518	1277
543	1519	1274
544	1521	1270
545	1523	1267
546	1526	1264
547	1528	1260
548	1530	1257
549	1532	1253
550	1534	1250
551	1536	1246
552	1537	1243
553	1539	1239
554	1541	1236
555	1544	1233
556	1545	1229
557	1547	1225
558	1548	1221
559	1550	1218
560	1551	1214
561	1553	1210
562	1555	1207
563	1557	1203
564	1558	1200
565	1560	1196
566	1561	1192
567	1562	1188
568	1564	1184
569	1566	1181
570	1567	1177
571	1569	1174
572	1571	1170
573	1572	1167
574	1574	1163
575	1576	1160
576	1577	1156
577	1578	1152
578	1580	1149
579	1582	1146
580	1585	1143
581	1586	1139
582	1588	1136
583	1590	1133
584	1592	1130
585	1595	1126
586	1599	1125
587	1601	1122
588	1603	1119
589	1606	1116
590	1607	1112
591	1609	1109
592	1611	1106
593	1615	1103
594	1617	1101
595	1619	1097
596	1621	1094
597	1623	1091
598	1626	1088
599	1630	1086
600	1631	1083
601	1633	1080
602	1637	1078
603	1639	1074
604	1643	1072
605	1645	1069
606	1646	1066
607	1649	1063
608	1651	1060
609	1653	1057
610	1656	1054
611	1658	1051
612	1661	1048
613	1663	1045
614	1665	1042
615	1667	1039
616	1670	1037
617	1673	1034
618	1676	1031
619	1679	1029
620	1682	1026
621	1685	1024
622	1687	1021
623	1690	1018
624	1692	1015
625	1696	1013
626	1699	1011
627	1702	1008
628	1705	1006
629	1707	1003
630	1709	999
631	1712	996
632	1714	994
633	1717	991
634	1720	989
635	1722	986
636	1724	982
637	1728	980
638	1730	977
639	1733	974
640	1735	971
641	1739	969
642	1744	968
643	1747	966
644	1749	963
645	1752	960
646	1756	958
647	1759	955
648	1762	953
649	1765	950
650	1769	948
651	1773	946
652	1776	944
653	1780	941
654	1783	939
655	1788	937
656	1791	935
657	1795	932
658	1797	930
659	1801	928
660	1806	926
661	1808	923
662	1811	920
663	1814	918
664	1818	916
665	1821	913
666	1827	912
667	1831	910
668	1833	907
669	1835	904
670	1837	901
671	1842	899
672	1848	898
673	1851	895
674	1853	892
675	1857	890
676	1859	887
677	1862	884
678	1865	881
679	1868	879
680	1871	876
681	1873	873
682	1876	870
683	1878	867
684	1880	864
685	1883	861
686	1885	859
687	1888	856
688	1890	853
689	1892	850
690	1894	847
691	1898	845
692	1901	842
693	1903	839
694	1906	836
695	1909	834
696	1912	831
697	1915	828
698	1918	826
699	1921	823
700	1925	821
701	1927	818
702	1930	815
703	1932	812
704	1935	809
705	1939	807
706	1943	805
707	1945	802
708	1948	799
709	1950	796
710	1954	794
711	1957	791
712	1960	788
713	1962	785
714	1964	782
715	1966	779
716	1969	777
717	1972	774
718	1974	771
719	1976	768
720	1978	765
721	1980	762
722	1982	759
723	1985	756
724	1987	753
725	1990	751
726	1992	748
727	1994	745
728	1997	742
729	2000	739
730	2001	736
731	2003	733
732	2005	730
733	2008	727
734	2011	725
735	2013	722
736	2015	719
737	2017	716
738	2019	713
739	2021	710
740	2024	707
741	2026	704
742	2028	701
743	2030	698
744	2032	695
745	2034	692
746	2035	689
747	2038	686
748	2040	683
749	2043	681
750	2045	678
751	2046	675
752	2048	672
753	2050	669
754	2053	666
755	2055	663
756	2058	660
757	2060	657
758	2061	654
759	2064	651
760	2068	649
761	2071	647
762	2073	644
763	2075	641
764	2077	638
765	2080	635
766	2083	632
767	2085	629
768	2087	627
769	2090	624
770	2092	621
771	2097	619
772	2098	616
773	2100	613
774	2102	610
775	2104	607
776	2106	604
777	2109	601
778	2112	599
779	2114	596
780	2116	593
781	2118	590
782	2120	587
783	2121	584
784	2127	582
785	2129	579
786	2132	577
787	2135	574
788	2137	571
789	2140	568
790	2143	566
791	2145	563
792	2148	560
793	2150	557
794	2153	555
795	2157	552
796	2161	550
797	2164	547
798	2167	545
799	2171	542
800	2173	540
801	2176	537
802	2181	535
803	2184	532
804	2187	529
805	2189	527
806	2193	524
807	2196	521
808	2199	519
809	2202	516
810	2206	514
811	2208	511
812	2212	508
813	2214	506
814	2216	503
815	2219	500
816	2223	497
817	2227	495
818	2229	492
819	2231	489
820	2234	487
821	2240	485
822	2243	482
823	2246	479
824	2249	477
825	2252	474
826	2256	471
827	2259	469
828	2261	466
829	2263	463
830	2266	460
831	2269	458
832	2271	455
833	2273	452
834	2276	449
835	2278	446
836	2281	444
837	2285	441
838	2287	439
839	2289	436
840	2291	433
841	2293	430
842	2296	427
843	2299	424
844	2303	422
845	2305	419
846	2308	417
847	2311	414
848	2314	411
849	2316	408
850	2319	406
851	2322	403
852	2324	400
853	2326	397
854	2330	395
855	2332	392
856	2336	389
857	2339	387
858	2343	384
859	2345	381
860	2347	379
861	2350	376
862	2354	373
863	2358	371
864	2360	368
865	2362	365
866	2364	362
867	2365	359
868	2371	357
869	2373	354
870	2376	351
871	2378	349
872	2381	346
873	2384	343
874	2387	341
875	2390	338
876	2392	335
877	2395	332
878	2399	330
879	2403	327
880	2405	324
881	2408	322
882	2411	319
883	2414	316
884	2416	314
885	2419	311
886	2423	308
887	2428	306
888	2430	303
889	2433	300
890	2435	297
891	2440	295
892	2443	292
893	2446	290
894	2448	287
895	2451	284
896	2454	281
897	2458	279
898	2460	276
899	2463	273
900	2465	270
901	2470	268
902	2472	265
903	2475	262
904	2478	260
905	2481	257
906	2484	254
907	2487	252
908	2489	249
909	2491	246
910	2493	243
911	2496	240
912	2499	238
913	2501	235
914	2502	232
915	2505	229
916	2507	226
917	2509	224
918	2512	221
919	2515	218
920	2517	215
921	2520	213
922	2522	210
923	2524	207
924	2526	204
925	2529	202
926	2531	199
927	2533	196
928	2537	193
929	2549	191
930	2552	189
931	2554	186
932	2557	183
933	2561	180
934	2563	178
935	2566	175
936	2570	172
937	2573	170
938	2575	167
939	2578	164
940	2581	161
941	2585	159
942	2587	156
943	2590	153
944	2592	150
945	2597	148
946	2602	145
947	2604	142
948	2608	140
949	2612	137
950	2614	134
951	2618	132
952	2622	129
953	2626	126
954	2628	123
955	2632	121
956	2634	118
957	2636	115
958	2640	112
959	2643	110
960	2645	107
961	2648	104
962	2651	101
963	2654	99
964	2657	96
965	2660	93
966	2661	90
967	2663	88
968	2666	85
969	2670	82
970	2672	79
971	2674	77
972	2677	74
973	2679	71
974	2682	68
975	2685	66
976	2688	63
977	2691	60
978	2693	57
979	2696	55
980	2698	52
981	2700	49
982	2703	46
983	2705	43
984	2712	41
985	2715	38
986	2718	35
987	2720	33
988	2724	30
989	2728	27
990	2730	24
991	2732	22
992	2734	19
993	2737	16
994	2739	13
995	2741	11
996	2743	8
997	2746	5
998	2749	2
999	2753	0
